"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2019","test_register_user","tests","Mon May 12 07:16:58 GMT 2025","passed","Mon May 12 07:17:00 GMT 2025","TestRegistration","test_register_user","",""
"","419","test_register_user_existing_email","tests","Mon May 12 07:17:13 GMT 2025","passed","Mon May 12 07:17:13 GMT 2025","TestRegistration","test_register_user","",""
"","220","test_test_cases","tests","Mon May 12 07:16:46 GMT 2025","passed","Mon May 12 07:16:46 GMT 2025","TestNavigationToOtherPages","test_home_links","",""
"","667","test_products","tests","Mon May 12 07:16:52 GMT 2025","passed","Mon May 12 07:16:52 GMT 2025","TestProducts","test_products","",""
"","558","test_product_search","tests","Mon May 12 07:16:55 GMT 2025","passed","Mon May 12 07:16:55 GMT 2025","TestProducts","test_products","",""
"","388","test_login_invalid_credentials","tests","Mon May 12 07:17:06 GMT 2025","passed","Mon May 12 07:17:06 GMT 2025","TestRegistration","test_register_user","",""
"","1054","test_logout_user","tests","Mon May 12 07:17:09 GMT 2025","passed","Mon May 12 07:17:10 GMT 2025","TestRegistration","test_register_user","",""
"","734","test_contact_us","tests","Mon May 12 07:16:42 GMT 2025","failed","Mon May 12 07:16:43 GMT 2025","TestNavigationToOtherPages","test_home_links","",""
"","130","test_subscription","tests","Mon May 12 07:16:49 GMT 2025","passed","Mon May 12 07:16:49 GMT 2025","TestNavigationToOtherPages","test_home_links","",""
"","735","test_login_valid_credentials","tests","Mon May 12 07:17:02 GMT 2025","passed","Mon May 12 07:17:03 GMT 2025","TestRegistration","test_register_user","",""
